station_pk,name,x,y,altitude,priority,private,has_measurement,has_warnregion,country,active
06720,Sion,8038.90008,9061.94898,482,3,1,1,0,Switzerland,1
06990,Vaduz-Flugh.,8826.3,8571.15,460,3,1,1,0,Liechtenstein,1
07015,Lille,6515.1,6712.2,48,3,1,1,0,France,1
07027,Caen,5235.80004,7462.8,67,3,1,1,0,France,1
07110,Brest-Guipavas,3811.70016,7860.14928,99,3,1,1,0,France,1
07120,Tremuson,4373.30016,7811.2512,136,3,1,1,0,France,1
07139,Alencon,5439.70008,7859.39922,144,3,1,1,0,France,1
07149,Paris,6258.39984,7712.99982,89,3,1,1,0,France,1
07168,Troyes,6847.2,7924.65012,112,3,1,1,0,France,1
07190,Strassburg,8150.50008,7803.30132,153,3,1,1,0,France,1
07222,Nantes,4820.79996,8559,27,3,1,1,0,France,1
07240,Tours,5661.9,8400.00078,108,3,1,1,0,France,1
07255,Bourges,6249.49992,8608.05036,161,3,1,1,0,France,1
07280,Dijon,7231.79988,8495.40096,219,3,1,1,0,France,1
07299,Mülhausen,8103.6,8308.1997,270,3,1,1,0,France,1
07335,Poitiers,5513.19984,8859.30102,120,3,1,1,0,France,1
07460,Clermont,6533.79984,9295.0497,329,3,1,1,0,France,1
07481,Lyon,7228.00008,9327.7494,248,3,1,1,0,France,1
07510,Bordeaux,5151.09996,9811.5003,49,3,1,1,0,France,1
07577,Montelimar,7103.90016,9946.19952,73,3,1,1,0,France,1
07621,Tarbes,5400,10698.44922,364,3,1,1,0,France,1
07630,Toulouse,5896.40004,10464.59898,152,3,1,1,0,France,1
07643,Montpellier,6826.70016,10488.45132,3,3,1,1,0,France,1
07650,Marseille,7277.79996,10563.5988,5,3,1,1,0,France,1
07690,Nizza,7995.20004,10449.60048,4,3,1,1,0,France,1
07747,Perpignan,6434.20008,10941.9012,43,3,1,1,0,France,1
07761,Ajaccio,8565.40008,11384.24976,6,3,1,1,0,France,1
07790,Bastia,8814.70008,11048.09868,10,3,1,1,0,France,1
08001,La Coruna,2368.24704,10602.36,58,3,1,1,0,Spain,1
08023,Santander,4031.85672,10534.7736,52,3,1,1,0,Spain,1
08027,San Sebastian,4665.24,10634.544,258,3,1,1,0,Spain,1
08045,Vigo,2295.39996,11210.6997,264,3,1,1,0,Spain,1
08160,Saragossa,5036.4,11523.168,263,3,1,1,0,Spain,1
08181,Barcelona,6145.2,11721.89988,4,3,1,1,0,Spain,1
08202,Salamanca,3420.60012,11901.90132,793,3,1,1,0,Spain,1
08221,Madrid,4119.99984,12167.99982,609,3,1,1,0,Spain,1
08280,Albacete,4729.29984,12985.8012,702,3,1,1,0,Spain,1
08284,Valencia,5229.207,12697.89804,69,3,1,1,0,Spain,1
08306,Mallorca,6385.20012,12657.15018,4,3,1,1,0,Spain,1
08314,Mahon,6917.60016,12498.4512,87,3,1,1,0,Spain,1
08360,Alicante,5194.50012,13347.2988,43,3,1,1,0,Spain,1
08373,San Jose,5898.39984,13026.7494,17,3,1,1,0,Spain,1
08410,Cordoba,3655.40004,13584.15036,90,3,1,1,0,Spain,1
08419,Granada,4035.80016,13937.5512,567,3,1,1,0,Spain,1
08430,Murcia,4978.49832,13498.92,61,3,1,1,0,Spain,1
08451,Jerez,3219.90012,14174.69922,27,3,1,1,0,Spain,1
08482,Malaga,3786.012,14219.982,16,3,1,1,0,Spain,1
08487,Almeria,4551.50016,14122.9494,15,3,1,1,0,Spain,1
08540,Monte Real,2202.00012,12510.00072,52,3,1,1,0,Portugal,1
08545,Porto,2274.00012,11753.99964,69,3,1,1,0,Portugal,1
08554,Faro,2531.99988,14031.00036,7,3,1,1,0,Portugal,1
08567,Vila Real,2621.99988,11736.00036,561,3,1,1,0,Portugal,1
08571,Portalegre,2729.99988,12807.00018,467,3,1,1,0,Portugal,1
08579,Lissabon,2112.00012,13086.00036,104,3,1,1,0,Portugal,1
10004,UFS Ems,7684.57764,4770.8622,0,6,1,1,0,Germany,1
10007,Deutsche Bucht,8082,4769.982,0,6,1,1,0,Germany,1
10015,Helgoland,8241.10344,4765.52322,4,2,1,1,0,Germany,1
10018,Westerland,8406,4364.99928,22,6,0,0,1,Germany,1
10020,List/Sylt,8428.51368,4314.06756,26,1,1,1,1,Germany,1
10022,Leck,8622.52056,4433.2407,7,3,0,1,1,Germany,1
10026,Husum,8694,4581.00036,28,6,0,0,1,Germany,1
10028,St. P. Ording,8497.07532,4682.9232,5,2,0,1,0,Germany,1
10033,Flensburg,8822.05416,4413.2472,27,3,0,1,1,Germany,1
10034,Eggebek,8766,4517.9991,20,6,0,0,1,Germany,1
10035,Schleswig,8837.50932,4575.14568,47,2,1,1,1,Germany,1
10037,Schleswig-Jagel,8826.99624,4614.27624,22,4,0,1,1,Germany,1
10038,Hohn,8834.03892,4690.11924,10,3,0,1,1,Germany,1
10042,Olpenitz,9008.55108,4513.8708,4,3,0,1,1,Germany,1
10044,Leuchtturm Kiel,9098.52732,4590.2079,5,6,1,0,0,Germany,1
10046,Kiel,9051.59664,4656.9006,31,2,1,1,1,Germany,1
10055,Fehmarn,9381.78468,4574.67588,3,2,1,1,1,Germany,1
10063,Puttgarden,9437.99976,4590,1,6,0,0,1,Germany,1
10091,Arkona,10236.33072,4493.2536,42,2,1,1,1,Germany,1
10093,Putbus,10251.72,4663.278,40,3,0,1,1,Germany,1
10097,Greifswalder Oie,10407.672,4728.402,12,3,0,1,0,Germany,1
10113,Norderney,7974.69156,5015.35638,11,2,1,1,1,Germany,1
10122,Jever,8237.99988,5112.00018,7,6,0,0,1,Germany,1
